ID	Name	Photo	Lvl	Exp	Hp	Mp	DCMin	DCMax	MCMin	MCMax	AC	MAC	HIT	intervel
20001	半兽勇士	20001	28	300	300	100	7	16	8	16	0	0	10	1500
20002	半兽勇士9	20001	49	300	900	100	15	32	15	32	388	88	20	1800
20003	骷髅精灵	20003	40	600	500	100	7	24	7	24	5	4	12	2000
20004	尸王	20004	40	800	500	100	9	18	9	18	3	3	15	2800
20005	沃玛卫士	20005	50	1200	1000	100	11	21	11	21	8	8	17	1500
20006	沃玛教主	20006	60	2500	2200	100	17	30	17	30	17	17	20	1500
20007	巨型多角虫	20007	27	200	250	100	7	15	7	15	0	0	12	2500
20008	巨型多角虫9	20007	27	100	900	100	15	32	15	32	88	388	20	1800
20009	神鹰	10033	60	800	1000	100	15	30	15	30	10	10	17	1500
20010	邪恶钳虫	20010	60	1400	1000	100	11	22	11	23	20	10	17	1800
20011	触龙神	20011	60	2200	1000	100	10	17	20	35	0	2000	15	2000
20012	邪恶毒蛇	20012	50	1600	1100	100	15	32	15	33	20	30	17	1800
20013	白野猪	20013	50	1600	1000	100	15	32	15	33	15	15	17	1800
20014	石墓尸王	20014	60	2000	5000	100	20	40	20	40	10	10	15	1500
20015	祖玛教主	20015	60	3000	3000	100	20	32	40	65	20	20	30	1000
20016	双头血魔	20016	60	1000	5000	100	30	55	30	55	20	20	18	1500
20017	双头金刚	20017	60	1000	5000	100	30	55	30	55	20	20	18	1500
20018	赤月恶魔	20018	70	3000	5000	100	25	70	25	70	18	18	25	1600
20019	黄泉教主	20019	60	3000	5000	100	45	70	45	70	20	24	18	2000
20020	恶灵教主	20019	60	3000	4000	100	45	70	45	70	20	24	18	2000
20021	牛魔王	20021	60	3000	5000	100	50	80	50	80	20	24	18	2000
20022	虹魔蝎卫	20022	55	2000	2000	100	28	28	28	28	26	13	25	1500
20023	虹魔猪卫	20023	55	2000	1500	100	15	36	15	36	15	10	18	1500
20024	虹魔教主	20024	66	3000	3000	100	50	70	50	70	15	20	50	1700
20025	千年树妖	20025	60	2000	1800	100	25	50	25	50	20	20	35	2000
20026	万年树妖	20025	70	15000	8000	100	50	70	50	70	10	30	35	2000
20027	魔龙巨蛾	20027	75	1800	6000	100	50	70	55	90	12	12	15	2000
20028	魔龙力士	20028	75	1900	6000	100	55	95	50	70	12	12	15	2000
20029	魔龙战将	20029	80	2000	6000	100	60	90	50	70	12	12	15	2000
20030	魔龙教主	20030	90	10000	12000	100	70	110	70	110	25	30	15	1600
20031	魔龙树妖	20025	85	8000	8000	100	65	100	70	100	50	80	35	2000
20032	暗之双头血魔	20016	60	3000	4000	100	30	55	30	55	20	20	20	1800
20033	暗之骷髅精灵	20003	50	3000	4000	100	22	70	22	70	12	14	20	1800
20034	暗之双头金刚	20017	50	3000	4000	100	30	55	30	55	20	20	20	1800
20035	暗之沃玛教主	20006	60	3000	4000	100	40	65	40	65	17	17	20	1800
20036	暗之黄泉教主	20019	60	3000	4000	100	45	70	45	70	20	24	20	1800
20037	暗之虹魔教主	20024	66	3000	4000	100	50	70	50	70	15	20	20	1400
20038	重装使者	20006	70	6000	6000	100	45	80	45	80	30	30	20	1500
20039	雷炎蛛王	20039	100	15000	16000	100	90	130	90	125	18	18	35	1800
20040	骷髅统领	20003	102	8000	7500	100	100	135	100	135	50	50	20	1400
20041	狐月天珠	20041	125	18000	15000	100	130	165	135	175	22	30	22	1800
20042	雪域魔王	20042	135	21000	20000	100	140	200	140	185	28	32	21	2000
20043	火龙教主	20030	145	26000	19500	100	160	220	160	120	30	36	30	1800
20044	火龙	20044	147	40000	35000	100	160	200	170	240	30	36	18	2000
20045	魔龙邪眼9	20045	60	1000	1800	100	30	50	30	50	888	188	15	2000
20046	魔龙刺蛙9	20046	60	1200	1800	100	40	65	40	65	188	888	15	2000
