id	enable	m_m	m1_t	m1_c	m2_t	m2_c	m3_t	m3_c	m4_t	m4_c
311006	1	0	205007	40	0	0	0	0	0	0
311007	1	311006	205007	110	0	0	0	0	0	0
311008	1	311007	205007	180	0	0	0	0	0	0
311009	1	311008	205007	240	0	0	0	0	0	0
311010	1	311009	205007	300	0	0	0	0	0	0
311011	1	311010	205008	255	0	0	0	0	0	0
311012	1	311011	205008	290	0	0	0	0	0	0
311013	1	311012	205008	340	0	0	0	0	0	0
311014	1	311013	205008	430	0	0	0	0	0	0
311015	1	311014	205009	350	0	0	0	0	0	0
311016	1	311015	205009	450	0	0	0	0	0	0
311017	1	311016	205009	550	0	0	0	0	0	0
312001	1	0	205001	25	205004	25	0	0	0	0
312002	1	312001	205001	60	205004	60	0	0	0	0
312003	1	312002	205001	110	205004	110	0	0	0	0
312004	1	312003	205001	170	205004	170	0	0	0	0
312005	1	312004	205002	80	205005	80	0	0	0	0
312006	1	312005	205002	155	205005	155	0	0	0	0
312007	1	312006	205002	235	205005	235	0	0	0	0
312008	1	312007	205002	320	205005	320	0	0	0	0
312009	1	312008	205003	115	205006	115	0	0	0	0
312010	1	312009	205003	255	205006	255	0	0	0	0
312011	1	312010	205003	380	205006	380	0	0	0	0
312012	1	312011	205003	500	205006	500	0	0	0	0
